event_id,drug_name,adverse_event,reaction,severity,route,dosage
AE00399,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00400,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00401,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00402,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00403,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00404,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00405,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00406,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00407,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00408,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00409,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00410,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00411,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00412,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00413,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00414,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00415,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00416,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00417,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00418,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00419,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00420,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00421,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00422,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00423,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00424,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00425,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00426,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00427,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00428,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00429,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00430,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00431,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00432,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00433,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00434,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00435,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00436,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00437,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00438,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00439,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00440,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00441,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00442,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00443,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00444,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00445,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00446,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00447,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00448,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00449,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00450,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00451,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00452,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00453,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00454,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00455,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00456,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00457,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00458,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00459,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00460,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00461,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00462,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00463,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00464,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00465,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00466,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00467,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00468,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00469,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00470,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00471,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00472,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00473,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00474,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00475,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00476,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00477,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00478,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00479,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00480,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00481,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00482,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00483,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00484,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00485,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00486,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00487,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00488,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00489,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00490,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00491,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00492,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00493,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00494,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00495,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00496,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00497,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00498,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00499,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00500,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00501,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00502,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00503,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00504,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00505,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00506,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00507,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00508,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00509,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00510,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00511,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00512,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00513,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00514,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00515,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00516,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00517,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00518,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00519,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00520,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00521,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00522,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00523,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00524,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00525,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00526,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00527,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00528,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00529,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00530,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00531,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00532,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00533,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00534,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00535,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00536,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00537,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00538,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00539,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00540,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00541,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00542,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00543,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00544,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00545,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00546,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00547,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00548,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00549,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00550,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00551,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00552,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00553,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00554,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00555,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00556,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00557,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00558,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00559,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00560,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00561,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00562,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00563,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00564,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00565,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00566,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00567,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00568,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00569,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00570,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00571,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00572,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00573,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00574,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00575,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00576,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00577,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00578,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00579,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00580,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00581,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00582,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00583,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00584,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00585,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00586,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00587,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00588,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00589,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00590,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00591,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00592,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00593,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00594,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00595,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00596,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00597,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00598,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00599,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00600,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00601,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00602,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00603,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00604,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00605,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00606,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00607,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00608,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00609,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00610,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00611,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00612,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00613,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00614,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00615,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00616,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00617,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00618,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00619,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00620,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00621,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00622,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00623,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00624,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00625,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00626,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00627,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00628,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00629,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00630,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00631,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00632,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00633,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00634,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00635,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00636,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00637,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00638,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00639,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00640,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00641,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00642,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00643,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00644,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00645,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00646,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00647,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00648,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00649,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00650,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00651,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00652,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00653,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00654,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00655,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00656,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00657,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00658,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00659,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00660,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00661,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00662,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00663,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00664,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00665,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00666,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00667,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00668,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00669,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00670,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00671,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00672,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00673,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00674,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00675,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00676,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00677,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00678,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00679,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00680,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00681,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00682,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00683,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00684,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00685,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00686,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00687,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00688,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00689,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00690,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00691,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00692,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00693,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00694,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00695,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00696,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00697,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00698,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00699,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00700,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00701,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00702,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00703,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00704,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00705,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00706,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00707,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00708,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00709,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00710,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00711,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00712,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00713,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00714,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00715,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00716,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00717,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00718,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00719,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00720,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00721,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00722,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00723,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00724,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00725,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00726,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00727,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00728,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00729,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00730,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00731,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00732,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00733,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00734,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00735,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00736,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00737,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00738,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00739,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00740,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00741,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00742,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00743,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00744,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00745,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00746,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00747,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00748,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00749,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00750,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00751,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00752,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00753,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00754,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00755,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00756,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00757,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00758,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00759,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00760,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00761,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00762,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00763,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00764,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00765,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00766,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00767,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00768,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00769,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00770,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00771,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00772,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00773,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00774,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00775,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00776,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00777,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00778,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00779,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00780,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00781,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00782,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00783,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00784,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00785,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00786,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00787,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00788,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00789,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00790,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00791,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00792,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00793,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00794,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00795,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00796,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00797,niraparib,fatigue,fatigue,moderate,oral,200 mg
